HeritageItemID,ItemName,HeritageTypeName,HeritageGroupName,EndorsedSignificance,DataEntryStatus,AssessedSignificance,ListingNumber,OwnerCode1,OwnerCode2,OwnerCode3,AreaHectares,AboriginalAreaName,Suburb,Address,LocalGovtAreaName,StreetNumber,StreetName,Property
5065883,Brookvale Public School - Building B00G,Built,,1,Basic,1,5,10912,1379,Metro North,1.8267,Guringai,Brookvale,2-8 Old Pittwater Road Brookvale 2100,Warringah,2-Aug,Old Pittwater Road,1 1 1 209019
5065884,Davidson High School - Significant Trees,Landscape,,1,Basic,1,5,10681,8479/4432,Metro North,8.1923,Guringai,Frenchs Forest,Blackbutts Road Frenchs Forest 2086,Warringah,,Blackbutts Road,1 1 1 513489
5065885,Forest High School - Former Hollands Orchard and Commemorative Grove,Landscape,,1,Basic,1,5,13060,8372,Metro North,6.317,Eora,Frenchs Forest,Frenchs Forest Road West Frenchs Forest 2086,Warringah,,Frenchs Forest Road West,2 500 1 1214811
5065886,Harbord Public School - Building B00Q,Built,,1,Basic,1,5,11752,2133,Metro North,2.647,Guringai,Freshwater,95 Oliver Street Freshwater 2096,Warringah,95,Oliver Street,1 100 1 1190199
5065887,Narrabeen Lakes Public School - Memorial,Built,,1,Basic,1,5,13017,2706,Metro North,0.7162,Eora,Narrabeen,1299 Pittwater Road Narrabeen 2101,Warringah,1299,Pittwater Road,1 12-15 Section 25 1 111254
5065888,Narrabeen Lakes Public School - Building B00A,Built,,1,Basic,1,5,13017,2706,Metro North,0.7162,Eora,Narrabeen,1299 Pittwater Road Narrabeen 2101,Warringah,1299,Pittwater Road,1 12-15 Section 25 1 111254
5065889,Narrabeen Lakes Public School - Building B00D,Built,,1,Basic,1,5,13017,2706,Metro North,0.7162,Eora,Narrabeen,1299 Pittwater Road Narrabeen 2101,Warringah,1299,Pittwater Road,1 12-15 Section 25 1 111254
5065890,Narrabeen Lakes Public School - Memorial,Built,,1,Basic,1,5,13017,2706,Metro North,0.7162,Eora,Narrabeen,1299 Pittwater Road Narrabeen 2101,Warringah,1299,Pittwater Road,1 12-15 Section D 1 111254
5065891,"Narraweena Primary School - Buildings B00I, B00J and B00L",Built,,1,Basic,1,5,12425,3827,Metro North,2.031,Guringai,Narraweena,78 McIntosh Road Narraweena 2099,Warringah,78,McIntosh Road,1 741 1 752038
5065892,Northern Beaches Secondary College - Manly Campus - Memorial,Built,,1,Basic,1,5,12795,8567,Metro North,0.7208,Eora,North Curl Curl,Abbott Road North Curl Curl 2099,Warringah,,Abbott Road,1 219 1 752038
5065893,Stewart House School - Curtilage,Built,,1,Basic,1,5,11316,5515,Metro North,1.027,Eora,Curl Curl,45 Carrington Parade Curl Curl 2096,Warringah,45,Carrington Parade,1 1492 1 752038
5065894,"Bondi Public School - Buildings B00A, B00C-B00E and Grounds",Built,,1,Basic,1,5,12355,7407,Metro Central,1.141,Dharug,Bondi,3-11 Wellington Street Bondi 2026,Waverley,3-Nov,Wellington Street,1 1 1 812880
5065895,Bondi Public School - Building B00B,Built,,1,Basic,1,5,12355,7407,Metro Central,1.141,Dharug,Bondi,3-11 Wellington Street Bondi 2026,Waverley,3-Nov,Wellington Street,1 1 1 812880
5065896,Bondi Beach Public School - Building B00A,Built,,1,Basic,1,5,12356,1292,Metro Central,1.111,Dharug,Bondi Beach,85 Warners Avenue Bondi Beach 2026,Waverley,85,Warners Avenue,1 1 1 814720
5065897,Bondi Beach Public School - Grounds and Significant Trees,Landscape,,1,Basic,1,5,12356,1292,Metro Central,1.111,Dharug,Bondi Beach,85 Warners Avenue Bondi Beach 2026,Waverley,85,Warners Avenue,1 1 1 814720
5065898,Bronte Public School - Building B00A,Built,,1,Basic,1,5,12400,1372,Metro Central,0.5575,Dharug,Bronte,44 Murray Street Bronte 2024,Waverley,44,Murray Street,1 1 1 801461
5065899,Bronte Public School - Grounds and Significant Trees,Landscape,,1,Basic,1,5,12400,1372,Metro Central,0.5575,Dharug,Bronte,44 Murray Street Bronte 2024,Waverley,44,Murray Street,1 1 1 801461
5065900,Bondi Beach Public School,Complex / Group,Education,1,Basic,1,6,12356,1292,Metro Central,1.111,Dharug,Bondi Beach,85 Warners Avenue Bondi Beach 2026,Waverley,85,Warners Avenue,1 1 1 814720
5065901,Waverley Public School,Complex / Group,Education,1,Basic,1,6,10849,3953,Metro Central,1.0562,Dharug,Waverley,151 Bronte Road Waverley 2024,Waverley,151,Bronte Road,1 1 1 598581
